1,2,3,4
5,6,1,3
6,1,3,4
7,8,9,10
11,7,12,9
7,12,9,8
13,14,9,15
13,16,9,11
13,16,15,9
11,16,9,17
11,17,9,12
18,19,6,4
18,4,3,2
18,6,3,4
5,6,3,20
5,3,21,20
18,19,20,6
6,18,3,20
22,10,9,8
9,23,10,22
23,2,10,24
3,23,24,2
22,24,23,10
18,3,20,24
18,24,2,3
4,18,25,2
24,25,18,2
25,24,26,2
22,26,24,10
26,24,10,2
22,26,10,27
8,22,10,27
18,4,28,19
4,18,28,25
19,18,29,28
19,18,20,30
19,30,29,18
31,24,23,22
14,15,31,9
23,24,31,3
23,3,31,21
23,31,22,9
21,3,31,20
14,21,23,31
23,9,14,31
24,3,20,31
32,14,31,21
32,21,31,20
14,15,32,31
32,33,20,31
12,8,34,9
16,17,34,9
22,34,8,9
8,35,34,27
17,12,34,9
17,12,35,34
22,8,34,27
12,8,35,34
22,34,9,31
16,15,9,34
31,34,9,15
15,36,32,31
15,36,31,34
17,16,34,37
17,34,35,37
16,37,15,34
37,15,34,36
18,25,38,28
24,18,25,38
30,20,38,18
30,33,38,20
24,38,31,20
33,38,20,31
18,29,28,38
18,38,24,20
30,38,29,18
22,24,26,39
22,27,39,26
22,34,39,27
34,22,39,31
24,31,38,39
22,31,24,39
34,31,39,36
37,34,35,40
39,34,41,27
35,27,41,34
39,34,40,41
35,40,34,41
26,24,25,42
38,24,39,42
24,39,42,26
25,28,42,38
25,26,42,43
43,28,42,25
24,38,25,42
27,26,44,39
27,41,39,44
42,39,44,26
42,43,26,44
45,29,46,47
46,42,28,38
47,43,28,46
46,43,28,42
29,38,46,28
47,28,29,46
43,42,48,44
43,46,48,42
49,43,46,48
47,46,49,43
47,45,49,46
30,29,38,50
30,33,50,38
45,29,50,46
38,29,46,50
36,31,39,51
32,36,51,31
33,50,38,51
39,31,38,51
32,33,31,51
33,38,31,51
39,34,52,40
37,40,52,34
36,39,34,52
36,52,51,39
37,36,34,52
53,51,39,38
46,42,38,53
50,53,38,51
51,53,39,52
42,38,53,39
50,46,38,53
54,40,41,39
54,41,44,39
42,39,54,44
52,54,39,40
55,40,41,54
54,53,52,39
42,39,53,54
55,40,54,56
52,40,56,54
45,46,57,49
45,57,46,50
50,46,53,57
58,59,60,61
59,58,60,62
60,63,62,58
64,65,62,63
62,63,65,58
64,65,63,66
64,63,67,66
68,69,70,71
68,71,72,69
68,73,69,72
74,73,68,72
75,76,70,77
76,78,79,80
80,79,67,78
75,76,81,80
75,77,81,76
81,79,80,76
82,79,67,80
79,81,80,82
58,59,83,62
83,62,65,58
84,60,85,78
58,60,85,61
84,86,85,61
85,84,61,60
58,87,83,59
88,58,85,61
58,87,59,88
58,59,61,88
58,88,85,87
89,86,61,85
88,85,89,61
71,70,76,90
69,70,71,90
77,70,90,76
48,91,92,93
54,94,55,56
92,48,44,95
92,95,44,94
55,41,96,54
41,44,96,54
94,55,96,54
96,95,94,44
54,94,44,96
55,94,97,56
55,97,94,96
92,98,48,95
98,92,48,91
46,42,53,99
53,99,42,54
42,54,99,44
54,94,99,44
99,92,44,94
46,42,99,48
92,48,99,44
42,44,99,48
100,57,46,49
101,93,49,100
100,99,48,46
100,46,57,53
49,100,48,46
99,100,53,46
93,49,100,48
48,92,100,93
92,99,48,100
101,100,49,57
102,57,53,100
102,50,53,57
53,50,102,51
99,53,100,102
53,103,51,102
56,52,54,103
53,51,103,52
53,103,54,52
56,97,104,94
94,105,54,99
103,53,105,102
53,105,102,99
105,103,56,54
94,54,105,56
105,53,103,54
105,99,53,54
105,106,94,56
106,105,103,56
56,104,106,94
91,107,108,109
91,107,110,108
100,92,99,108
109,101,108,93
91,98,108,110
101,100,108,93
91,93,108,92
91,92,108,98
91,93,109,108
100,92,108,93
107,111,110,108
109,101,112,108
57,100,102,112
100,101,108,112
101,57,112,100
109,113,107,108
111,107,113,108
109,113,108,112
114,111,107,113
114,111,115,107
107,110,111,115
114,116,111,113
58,87,117,83
60,58,117,63
60,63,117,78
58,85,60,117
85,60,117,78
58,87,85,117
58,65,117,63
83,58,65,117
65,83,117,118
69,90,71,119
79,81,119,76
71,72,119,78
71,76,119,90
77,90,119,76
71,72,69,119
73,69,72,119
76,78,119,79
71,76,78,119
77,76,119,81
74,73,72,120
120,89,86,121
119,120,72,73
84,86,74,120
84,85,120,78
84,85,86,120
121,73,74,120
72,84,120,78
72,119,78,120
89,85,120,86
121,120,74,86
72,84,74,120
65,117,63,122
63,67,122,78
66,122,67,82
82,79,122,67
66,65,63,122
118,117,65,122
122,63,78,117
66,65,122,118
66,67,122,63
79,122,67,78
122,66,123,82
66,122,123,118
122,117,78,124
79,119,124,78
119,120,124,78
85,120,78,124
85,117,124,78
79,122,78,124
73,69,119,125
69,90,119,125
119,73,125,120
121,73,120,125
77,81,119,126
90,77,119,126
119,124,126,79
81,79,119,126
79,122,124,127
79,82,127,81
81,79,126,127
82,123,122,127
82,79,127,122
79,127,124,126
87,83,128,117
83,128,117,118
88,89,85,129
117,85,124,129
87,128,129,117
85,120,124,129
89,85,129,120
88,87,129,85
87,117,129,85
89,120,129,130
121,120,130,125
120,121,130,89
90,126,119,131
119,126,124,131
125,90,119,131
92,108,132,99
92,108,98,132
105,94,132,99
99,92,94,132
92,133,132,98
133,94,96,95
94,133,96,97
95,92,98,133
133,95,92,94
133,132,94,92
95,98,134,133
133,94,135,97
105,94,106,135
97,135,104,94
133,132,135,94
94,132,135,105
104,135,106,94
133,95,136,134
133,135,136,97
133,95,96,136
133,97,136,96
135,137,97,104
135,137,136,97
138,111,110,115
108,138,98,132
132,133,138,98
138,110,134,115
134,138,133,98
110,98,108,138
110,134,98,138
111,138,110,108
111,115,138,139
114,139,115,111
114,116,139,111
138,115,134,140
104,141,135,137
105,106,103,142
103,105,142,102
105,99,132,142
112,108,100,142
102,112,100,142
132,108,142,99
100,99,142,108
102,99,142,100
105,102,99,142
104,106,135,143
104,141,143,135
106,142,105,144
143,106,144,142
106,105,135,144
132,144,105,142
143,144,106,135
132,144,142,108
132,135,105,144
111,145,138,108
145,138,108,132
132,145,144,108
111,145,139,138
116,111,145,139
145,111,116,146
116,113,146,111
144,142,108,146
112,108,142,146
113,112,146,108
145,111,146,108
145,144,108,146
113,111,108,146
115,140,138,147
115,139,147,138
116,145,146,148
116,139,145,148
128,117,149,129
118,117,149,128
150,151,118,149
151,118,149,128
150,123,149,118
117,124,149,129
124,117,149,122
122,123,118,149
117,122,118,149
124,119,131,152
125,119,152,131
152,149,124,129
124,119,152,120
124,120,152,129
130,152,120,129
130,152,125,120
119,120,125,152
153,154,127,123
154,150,123,153
150,149,123,153
123,127,153,122
122,127,153,124
123,149,122,153
149,124,122,153
155,126,131,124
155,152,124,131
153,155,124,127
152,124,149,155
149,155,124,153
155,127,126,124
131,126,155,156
130,152,157,125
157,155,131,152
157,131,125,152
158,156,155,126
158,155,127,126
153,158,155,127
153,159,127,154
159,153,127,158
159,154,153,160
154,153,160,161
154,153,161,150
149,161,153,150
150,151,149,161
162,154,160,161
163,150,154,161
163,150,161,151
163,161,154,162
163,164,151,161
151,165,128,149
128,165,129,149
149,152,166,129
166,149,151,161
166,165,151,149
165,166,129,149
166,164,161,151
165,166,151,164
152,130,157,167
168,166,152,129
165,166,168,129
152,167,168,130
152,130,168,129
168,152,166,167
131,157,169,155
156,169,155,131
138,134,133,170
145,144,170,132
132,135,144,170
135,132,133,170
138,134,170,140
138,145,170,132
138,132,170,133
136,133,134,170
133,135,170,136
140,170,171,172
170,140,134,172
170,172,134,136
173,135,170,144
137,135,173,141
174,141,137,173
135,173,170,136
135,137,173,136
141,135,173,143
144,135,143,173
137,175,173,136
173,175,170,136
172,170,175,136
176,137,175,173
174,176,173,137
174,176,177,173
140,171,170,178
147,139,148,178
148,139,145,178
147,140,178,171
170,140,178,138
138,170,145,178
179,147,178,171
140,147,178,138
147,139,178,138
145,138,178,139
178,171,170,180
